كشف حساب البنك فودافون 1

"م";"كود القيد";"تاريخ الادخال";"التاريخ";"المستخدم";"البيان";"مدين";"دائن";"الرصيد"
"151";"5029";"25/03/2026 06:29:35 م";"25/03/2026 06:29:35 م";"ابراهيم الضويني ";"تحويل الى شركه دهب باسم ابراهيم المستلم ";;"4000.000000";"7.500000"
"152";"5050";"29/03/2026 02:28:39 م";"29/03/2026 02:28:38 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3269 احمد محمد";"1070.000000";;"1077.500000"
"153";"5102";"31/03/2026 09:07:47 م";"31/03/2026 09:07:47 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3297 نقدى";"440.000000";;"1517.500000"
"154";"5125";"01/04/2026 03:30:38 م";"01/04/2026 03:30:38 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3315 نقدى";"65.000000";;"1582.500000"
"155";"5176";"01/04/2026 08:10:22 م";"01/04/2026 08:10:22 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3345 نقدى";"585.000000";;"2167.500000"
"156";"5210";"02/04/2026 03:45:50 م";"02/04/2026 03:45:49 م";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"2000.000000";;"4167.500000"
"157";"5292";"04/04/2026 09:53:46 م";"04/04/2026 09:53:46 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3411 نقدى";"780.000000";;"4947.500000"
"158";"5294";"04/04/2026 10:04:38 م";"04/04/2026 10:04:38 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3412 نقدى";"50.000000";;"4997.500000"
"159";"5327";"05/04/2026 02:17:13 م";"05/04/2026 02:17:13 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3428 نقدى";"1000.000000";;"5997.500000"
"160";"5474";"07/04/2026 01:10:49 م";"07/04/2026 01:10:49 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3526 نقدى";"1330.000000";;"7327.500000"
"161";"5478";"07/04/2026 01:51:42 م";"07/04/2026 01:51:42 م";"ابراهيم الضويني ";"تحويل الى شركة السمكه المستلم ";;"6000.000000";"1327.500000"
"162";"5480";"07/04/2026 03:03:37 م";"07/04/2026 03:03:37 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3528 نقدى";"175.000000";;"1502.500000"
"163";"5510";"07/04/2026 04:44:52 م";"07/04/2026 04:44:52 م";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"5215.000000";;"6717.500000"
"164";"5511";"07/04/2026 04:46:33 م";"07/04/2026 04:46:33 م";"ابراهيم الضويني ";"تحويل من محل فولت (فارس عريف) المستلم ";"1700.000000";;"8417.500000"
"165";"5513";"07/04/2026 05:09:57 م";"07/04/2026 05:09:57 م";"ابراهيم الضويني ";"تحويل الى شركة نيو فيرجن المستلم ";;"6000.000000";"2417.500000"
"166";"5514";"07/04/2026 05:10:22 م";"07/04/2026 05:10:21 م";"ابراهيم الضويني ";"مصروفات المشتريات والخصومات عموله تحويل المستلم ";;"60.000000";"2357.500000"
"167";"5561";"08/04/2026 07:32:11 م";"08/04/2026 07:32:11 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3583 نقدى";"340.000000";;"2697.500000"
"168";"5681";"09/04/2026 08:26:44 م";"09/04/2026 08:26:44 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3654 نقدى";"1600.000000";;"4297.500000"
"169";"5699";"09/04/2026 10:19:12 م";"09/04/2026 10:19:12 م";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"3000.000000";;"7297.500000"
"170";"5708";"09/04/2026 11:19:29 م";"09/04/2026 11:19:29 م";"يوسف محمود";"تحويل من الحاج احمد فرحات المستلم ";"1000.000000";;"8297.500000"
"171";"5719";"09/04/2026 11:24:28 م";"09/04/2026 11:24:28 م";"ابراهيم الضويني ";"تحويل الى الخزينة خزينة 1  المستلم ";;"1400.000000";"6897.500000"
"172";"5723";"09/04/2026 11:50:33 م";"09/04/2026 11:50:33 م";"ابراهيم الضويني ";"تحويل من محل فولت (فارس عريف) المستلم ";"7000.000000";;"13897.500000"
"173";"5715";"10/04/2026 12:08:25 ص";"10/04/2026 12:08:25 ص";"ابراهيم الضويني ";"تحويل الى شركة المصري لايت المستلم محمد جمال";;"2200.000000";"11697.500000"
"174";"5722";"10/04/2026 12:40:40 ص";"10/04/2026 12:40:40 ص";"ابراهيم الضويني ";"تحويل من احمد الخميسي المستلم ";"4000.000000";;"15697.500000"
"175";"5727";"10/04/2026 01:24:05 م";"10/04/2026 01:24:05 م";"ابراهيم الضويني ";"تحويل من ابراهيم الاغا المستلم ";"750.000000";;"16447.500000"
"176";"5727";"10/04/2026 01:25:48 م";"10/04/2026 01:25:48 م";"ابراهيم الضويني ";"تحويل من خالد القنيشي المستلم ";"3460.000000";;"19907.500000"
"177";"5728";"10/04/2026 01:26:27 م";"10/04/2026 01:26:27 م";"ابراهيم الضويني ";"تحويل الى كريم ابو الهدى المستلم ";;"15000.000000";"4907.500000"
"178";"5730";"10/04/2026 01:27:00 م";"10/04/2026 01:27:00 م";"ابراهيم الضويني ";"مصروفات المشتريات والخصومات عمولة تحويل المستلم ";;"150.000000";"4757.500000"
"179";"5735";"11/04/2026 10:17:07 ص";"11/04/2026 10:17:07 ص";"ابراهيم الضويني ";"تحويل الى شركة الأقصى المستلم ";;"3000.000000";"1757.500000"
"180";"5846";"12/04/2026 05:56:26 م";"12/04/2026 05:56:26 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3737 اسلام ليد";"2000.000000";;"3757.500000"
"181";"5905";"13/04/2026 04:51:16 م";"13/04/2026 04:51:16 م";"ابراهيم الضويني ";"تحويل الى شركة النخبة المستلم ";;"5400.000000";"-1642.500000"
"182";"5947";"14/04/2026 02:38:31 م";"14/04/2026 02:38:31 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3800 نقدى";"500.000000";;"-1142.500000"
"183";"5952";"14/04/2026 03:26:00 م";"14/04/2026 03:26:00 م";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"3280.000000";;"2137.500000"
"184";"6032";"14/04/2026 11:52:10 م";"14/04/2026 11:52:09 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3857 نقدى";"200.000000";;"2337.500000"
"185";"6034";"14/04/2026 11:53:55 م";"14/04/2026 11:53:55 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3859 نقدى";"2850.000000";;"5187.500000"
"186";"6099";"15/04/2026 10:41:14 م";"15/04/2026 10:41:14 م";"يوسف محمود";"تحويل الى شركة ابو العز للبلاستيك المستلم ";;"2500.000000";"2687.500000"
"187";"6139";"16/04/2026 03:39:45 م";"16/04/2026 03:39:45 م";"ابراهيم الضويني ";"تحويل من محمد نبيل المستلم ";"1740.000000";;"4427.500000"
"188";"6189";"16/04/2026 07:36:22 م";"16/04/2026 07:36:22 م";"يوسف محمود";"تحويل من الحاج احمد فرحات المستلم ";"1000.000000";;"5427.500000"
"189";"6204";"16/04/2026 09:03:19 م";"16/04/2026 09:03:19 م";"ابراهيم الضويني ";"تحويل من محل فولت (فارس عريف) المستلم ";"4900.000000";;"10327.500000"
"190";"6204";"16/04/2026 09:03:44 م";"16/04/2026 09:03:44 م";"ابراهيم الضويني ";"تحويل من احمد الخميسي المستلم ";"5000.000000";;"15327.500000"
"191";"6214";"16/04/2026 09:37:37 م";"16/04/2026 09:37:37 م";"ابراهيم الضويني ";"تحويل من كريم البوهي المستلم ";"500.000000";;"15827.500000"
"192";"6258";"16/04/2026 11:05:51 م";"16/04/2026 11:05:51 م";"ابراهيم الضويني ";"تحويل من باى  انستا 1 دمياط ";"19440.000000";;"35267.500000"
"193";"6258";"16/04/2026 11:06:08 م";"16/04/2026 11:06:08 م";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"1520.000000";;"36787.500000"
"194";"6234";"16/04/2026 11:22:21 م";"16/04/2026 11:22:21 م";"يوسف محمود";"تحويل من ابراهيم الاغا المستلم ";"3000.000000";;"39787.500000"
"195";"6257";"17/04/2026 12:10:31 ص";"17/04/2026 12:10:31 ص";"يوسف محمود";"تحويل من محمود اسماعيل المستلم ";"500.000000";;"40287.500000"
"196";"6280";"17/04/2026 12:32:37 ص";"17/04/2026 12:32:37 ص";"ابراهيم الضويني ";"تحويل من اسلام ليد المستلم ";"2700.000000";;"42987.500000"
"197";"6281";"17/04/2026 12:35:58 ص";"17/04/2026 12:35:58 ص";"ابراهيم الضويني ";"تحويل الى محمود على الله المستلم ";;"20000.000000";"22987.500000"
"198";"6281";"17/04/2026 12:47:50 ص";"17/04/2026 12:47:50 ص";"ابراهيم الضويني ";"تحويل الى Master wood المستلم ";;"6250.000000";"16737.500000"
"199";"6282";"17/04/2026 12:48:42 ص";"17/04/2026 12:48:42 ص";"ابراهيم الضويني ";"مصروفات مصروفات متنوعة عموله تحويل المستلم ";;"15.000000";"16722.500000"
"200";"6283";"17/04/2026 12:49:22 ص";"17/04/2026 12:49:22 ص";"ابراهيم الضويني ";"تحويل من خالد القنيشي المستلم ";"2155.000000";;"18877.500000"
"201";"6284";"17/04/2026 12:53:16 ص";"17/04/2026 12:53:16 ص";"ابراهيم الضويني ";"تحويل الى شركة الماسه لايت المستلم ";;"5000.000000";"13877.500000"
"202";"6285";"17/04/2026 01:51:58 ص";"17/04/2026 01:51:58 ص";"ابراهيم الضويني ";"تحويل الى احمد مصباح (المنصورة) المستلم ";;"3300.000000";"10577.500000"
"203";"6296";"18/04/2026 03:08:30 م";"18/04/2026 03:08:27 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 3997 حسام فرح";"9600.000000";;"20177.500000"
"204";"6297";"18/04/2026 03:21:26 م";"18/04/2026 03:21:26 م";"ابراهيم الضويني ";"تحويل الى مصطفي الضويني المستلم ";;"500.000000";"19677.500000"
"205";"6313";"18/04/2026 05:04:16 م";"18/04/2026 05:04:16 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4011 نقدى";"950.000000";;"20627.500000"
"206";"6408";"19/04/2026 04:04:22 م";"19/04/2026 04:04:22 م";"ابراهيم الضويني ";"تحويل الى شركه دهب باسم ابراهيم المستلم ";;"6000.000000";"14627.500000"
"207";"6433";"19/04/2026 08:46:27 م";"19/04/2026 08:46:27 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4087 نقدى";"190.000000";;"14817.500000"
"208";"6446";"19/04/2026 09:14:59 م";"19/04/2026 09:14:59 م";"ابراهيم الضويني ";"تحويل من علي النجار كافيه المستلم ";"5000.000000";;"19817.500000"
"209";"6478";"20/04/2026 03:44:13 م";"20/04/2026 03:44:13 م";"يوسف محمود";"تحويل من اشرف هنيدي المستلم ";"3000.000000";;"22817.500000"
"210";"6506";"20/04/2026 05:44:59 م";"20/04/2026 05:44:59 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4137 نقدى";"2100.000000";;"24917.500000"
"211";"6530";"20/04/2026 08:10:22 م";"20/04/2026 08:10:22 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4157 نقدى";"400.000000";;"25317.500000"
"212";"6537";"20/04/2026 08:29:29 م";"20/04/2026 08:29:29 م";"ابراهيم الضويني ";"تحويل الى شركة انرجي الحداد المستلم ";;"10000.000000";"15317.500000"
"213";"6541";"20/04/2026 08:45:29 م";"20/04/2026 08:45:28 م";"ابراهيم الضويني ";"تحويل الى شركة الياسمين  المستلم ";;"10500.000000";"4817.500000"
"214";"6543";"20/04/2026 08:45:50 م";"20/04/2026 08:45:50 م";"ابراهيم الضويني ";"مصروفات المشتريات والخصومات عمولة تحويل المستلم اللاب";;"100.000000";"4717.500000"
"215";"6577";"21/04/2026 01:44:07 م";"21/04/2026 01:44:07 م";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"840.000000";;"5557.500000"
"216";"6631";"21/04/2026 07:13:45 م";"21/04/2026 07:13:45 م";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"20.000000";;"5577.500000"
"217";"6756";"22/04/2026 08:39:31 م";"22/04/2026 08:39:31 م";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"6000.000000";;"11577.500000"
"218";"6766";"22/04/2026 10:27:08 م";"22/04/2026 10:27:08 م";"يوسف محمود";"تحويل من الحاج مسعد الشطوي المستلم ";"1000.000000";;"12577.500000"
"219";"6771";"22/04/2026 11:32:42 م";"22/04/2026 11:32:42 م";"يوسف محمود";"تحويل من محمد السيد زجاج المستلم ";"390.000000";;"12967.500000"
"220";"6775";"22/04/2026 11:53:36 م";"22/04/2026 11:53:36 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4313 علاء النمل";"900.000000";;"13867.500000"
"221";"6811";"23/04/2026 04:23:07 م";"23/04/2026 04:23:07 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4338 نقدى";"130.000000";;"13997.500000"
"222";"6820";"23/04/2026 05:32:06 م";"23/04/2026 05:32:06 م";"يوسف محمود";"تحويل من م / يوسف خشبه المستلم ";"1400.000000";;"15397.500000"
"223";"6861";"23/04/2026 08:42:47 م";"23/04/2026 08:42:47 م";"يوسف محمود";"تحويل من مجدي الهنداوي المستلم ";"700.000000";;"16097.500000"
"224";"6900";"23/04/2026 09:59:14 م";"23/04/2026 09:59:14 م";"يوسف محمود";"تحويل من احمد الفرخ المستلم ";"7500.000000";;"23597.500000"
"225";"6913";"23/04/2026 11:21:17 م";"23/04/2026 11:21:17 م";"يوسف محمود";"تحويل من حسام صيام المستلم ";"580.000000";;"24177.500000"
"226";"6940";"23/04/2026 11:52:39 م";"23/04/2026 11:52:39 م";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"3265.000000";;"27442.500000"
"227";"6942";"24/04/2026 02:32:32 م";"24/04/2026 02:32:31 م";"ابراهيم الضويني ";"تحويل من خالد القنيشي المستلم ";"2500.000000";;"29942.500000"
"228";"6942";"24/04/2026 02:32:42 م";"24/04/2026 02:32:42 م";"ابراهيم الضويني ";"تحويل من محل فولت (فارس عريف) المستلم ";"10000.000000";;"39942.500000"
"229";"6946";"24/04/2026 02:51:05 م";"24/04/2026 02:51:05 م";"ابراهيم الضويني ";"تحويل الى شركة R.S  محمد البغدادي المستلم ";;"11000.000000";"28942.500000"
"230";"6947";"24/04/2026 02:53:44 م";"24/04/2026 02:53:44 م";"ابراهيم الضويني ";"تحويل من ابراهيم الاغا المستلم ";"2200.000000";;"31142.500000"
"231";"6948";"24/04/2026 02:55:24 م";"24/04/2026 02:55:24 م";"ابراهيم الضويني ";"تحويل الى محمود على الله المستلم ";;"18000.000000";"13142.500000"
"232";"6951";"24/04/2026 06:52:18 م";"24/04/2026 06:52:18 م";"ابراهيم الضويني ";"تحويل الى شركة الماسه لايت المستلم ";;"5000.000000";"8142.500000"
"233";"6996";"25/04/2026 04:07:45 م";"25/04/2026 04:07:45 م";"ابراهيم الضويني ";"تحويل من احمد الخميسي المستلم ";"5000.000000";;"13142.500000"
"234";"7014";"25/04/2026 06:59:12 م";"25/04/2026 06:59:12 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4447 نقدى";"1215.000000";;"14357.500000"
"235";"7157";"26/04/2026 10:35:33 م";"26/04/2026 10:35:33 م";"يوسف محمود";"تحويل من الحاج احمد شلبي الدبسي زجاج المستلم ";"2400.000000";;"16757.500000"
"236";"7177";"27/04/2026 12:28:19 م";"27/04/2026 12:28:19 م";"يوسف محمود";"تحويل من محل فولت (فارس عريف) المستلم ";"3000.000000";;"19757.500000"
"237";"7198";"27/04/2026 03:54:52 م";"27/04/2026 03:54:52 م";"يوسف محمود";"تحويل من مجدي عبد الباقي المستلم ";"450.000000";;"20207.500000"
"238";"7272";"27/04/2026 11:28:39 م";"27/04/2026 11:28:39 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4615 نقدى";"700.000000";;"20907.500000"
"239";"7273";"27/04/2026 11:30:50 م";"27/04/2026 11:30:50 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4616 نقدى";"150.000000";;"21057.500000"
"240";"7276";"28/04/2026 10:48:10 ص";"28/04/2026 10:48:10 ص";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"2413.000000";;"23470.500000"
"241";"7279";"28/04/2026 11:04:15 ص";"28/04/2026 11:04:15 ص";"ابراهيم الضويني ";"تحويل من حماده خشبه الماجيكو المستلم ";"3000.000000";;"26470.500000"
"242";"7287";"28/04/2026 01:04:04 م";"28/04/2026 01:04:04 م";"ابراهيم الضويني ";"تحويل الى شركة الياسمين  المستلم ";;"15000.000000";"11470.500000"
"243";"7288";"28/04/2026 01:04:46 م";"28/04/2026 01:04:46 م";"ابراهيم الضويني ";"مصروفات مصاريف ادارية وعمومية عموله تحويل المستلم الياسمين";;"150.000000";"11320.500000"
"244";"7329";"28/04/2026 04:50:45 م";"28/04/2026 04:50:45 م";"ابراهيم الضويني ";"تحويل الى احمد مصباح (المنصورة) المستلم ";;"2500.000000";"8820.500000"
"245";"7356";"28/04/2026 08:31:09 م";"28/04/2026 08:31:09 م";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"2000.000000";;"10820.500000"
"246";"7431";"29/04/2026 03:04:56 م";"29/04/2026 03:04:56 م";"ابراهيم الضويني ";"تحويل الى شركة ابو العز للبلاستيك المستلم ";;"2000.000000";"8820.500000"
"247";"7432";"29/04/2026 03:08:00 م";"29/04/2026 03:08:00 م";"ابراهيم الضويني ";"دفع بالفيزا فاتورة شراء 205 الفار للالكترونيات";;"1460.000000";"7360.500000"
"248";"7433";"29/04/2026 03:09:10 م";"29/04/2026 03:09:10 م";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"210.000000";;"7570.500000"
"249";"7458";"29/04/2026 07:16:09 م";"29/04/2026 07:16:09 م";"ابراهيم الضويني ";"مصروفات مصاريف ادارية وعمومية شحن نت المحل المستلم ";;"400.000000";"7170.500000"
"250";"7541";"30/04/2026 05:39:20 م";"30/04/2026 05:39:18 م";"يوسف محمود";"تحويل من اسلام الخولي المستلم ";"5000.000000";;"12170.500000"
"251";"7545";"30/04/2026 05:55:19 م";"30/04/2026 05:55:18 م";"يوسف محمود";"تحويل من محمد مجاهد الجنايني المستلم ";"5000.000000";;"17170.500000"
"252";"7546";"30/04/2026 06:23:30 م";"30/04/2026 06:23:30 م";"يوسف محمود";"تحويل من محمد نبيل المستلم ";"400.000000";;"17570.500000"
"253";"7555";"30/04/2026 07:13:40 م";"30/04/2026 07:13:40 م";"يوسف محمود";"تحويل الى شركة الأقصى المستلم ";;"6000.000000";"11570.500000"
"254";"7560";"30/04/2026 07:29:57 م";"30/04/2026 07:29:57 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4784 نقدى";"255.000000";;"11825.500000"
"255";"7582";"30/04/2026 09:14:30 م";"30/04/2026 09:14:30 م";"يوسف محمود";"تحويل من احمد الفرخ المستلم ";"8000.000000";;"19825.500000"
"256";"7584";"30/04/2026 09:16:50 م";"30/04/2026 09:16:50 م";"يوسف محمود";"تحويل من احمد الفرخ المستلم ";"9000.000000";;"28825.500000"
"257";"7614";"30/04/2026 10:29:17 م";"30/04/2026 10:29:17 م";"يوسف محمود";"تحويل من اشرف هنيدي المستلم ";"5000.000000";;"33825.500000"
"258";"7620";"30/04/2026 10:48:13 م";"30/04/2026 10:48:13 م";"يوسف محمود";"تحويل من ابراهيم الاغا المستلم ";"2800.000000";;"36625.500000"
"259";"7640";"01/05/2026 12:29:03 ص";"01/05/2026 12:29:03 ص";"يوسف محمود";"تحويل من احمد الخميسي المستلم ";"5000.000000";;"41625.500000"
"260";"7641";"01/05/2026 12:30:41 ص";"01/05/2026 12:30:41 ص";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"2800.000000";;"44425.500000"
"261";"7648";"01/05/2026 12:47:02 ص";"01/05/2026 12:47:02 ص";"ابراهيم الضويني ";"تحويل الى عمرو اسامه حبيشي المستلم ";;"400.000000";"44025.500000"
"262";"7657";"01/05/2026 01:59:34 ص";"01/05/2026 01:59:33 ص";"مدير الشركه مصطفي";"تحويل الى شركة سيلفر لايت (محمد شنشن) المستلم ";;"15700.000000";"28325.500000"
"263";"7661";"01/05/2026 02:25:37 ص";"01/05/2026 02:25:37 ص";"مدير الشركه مصطفي";"تحويل من مصطفي الضويني المستلم ";"40000.000000";;"68325.500000"
"264";"7662";"01/05/2026 02:31:00 ص";"01/05/2026 02:31:00 ص";"مدير الشركه مصطفي";"تحويل الى شركة R.S  محمد البغدادي المستلم ";;"44300.000000";"24025.500000"
"265";"7663";"01/05/2026 02:46:56 ص";"01/05/2026 02:46:56 ص";"مدير الشركه مصطفي";"مصروفات المشتريات والخصومات عمولة تحويل المستلم البغدادي";;"20.000000";"24005.500000"
"266";"7665";"02/05/2026 02:48:54 ص";"02/05/2026 02:48:54 ص";"مدير الشركه مصطفي";"تحويل من مصطفي الضويني المستلم ";"5700.000000";;"29705.500000"
"267";"7666";"02/05/2026 02:49:11 ص";"02/05/2026 02:49:11 ص";"مدير الشركه مصطفي";"تحويل الى شركة R.S  محمد البغدادي المستلم ";;"5700.000000";"24005.500000"
"268";"7666";"02/05/2026 02:49:24 ص";"02/05/2026 02:49:24 ص";"مدير الشركه مصطفي";"تحويل الى محمود على الله المستلم ";;"10000.000000";"14005.500000"
"269";"7667";"02/05/2026 02:49:44 ص";"02/05/2026 02:49:44 ص";"مدير الشركه مصطفي";"تحويل من باى  انستا 1 دمياط ";"250.000000";;"14255.500000"
"270";"7669";"02/05/2026 02:52:06 ص";"02/05/2026 02:52:06 ص";"مدير الشركه مصطفي";"تحويل من اسلام ليد المستلم ";"1800.000000";;"16055.500000"
"271";"7669";"02/05/2026 02:52:19 ص";"02/05/2026 02:52:19 ص";"مدير الشركه مصطفي";"تحويل من محل فولت (فارس عريف) المستلم ";"16000.000000";;"32055.500000"
"272";"7670";"02/05/2026 02:59:58 ص";"02/05/2026 02:59:58 ص";"مدير الشركه مصطفي";"تحويل الى اورجينال (احمد حمزه) المستلم ";;"5000.000000";"27055.500000"
"273";"7670";"02/05/2026 03:00:06 ص";"02/05/2026 03:00:06 ص";"مدير الشركه مصطفي";"تحويل الى شركة الحمد -احمد حمزه المستلم ";;"3500.000000";"23555.500000"
"274";"7670";"02/05/2026 03:02:18 ص";"02/05/2026 03:02:18 ص";"مدير الشركه مصطفي";"تحويل الى احمد مصباح (المنصورة) المستلم ";;"2500.000000";"21055.500000"
"275";"7670";"02/05/2026 03:07:09 ص";"02/05/2026 03:07:09 ص";"مدير الشركه مصطفي";"تحويل الى شركة النخبة المستلم ";;"20000.000000";"1055.500000"
"276";"7671";"02/05/2026 03:08:24 ص";"02/05/2026 03:08:24 ص";"مدير الشركه مصطفي";"مصروفات المشتريات والخصومات عمولة تحويل المستلم الحمد+مصباح+النخبه";;"30.000000";"1025.500000"
"277";"7716";"02/05/2026 06:32:00 م";"02/05/2026 06:32:00 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4857 نقدى";"200.000000";;"1225.500000"
"278";"7944";"04/05/2026 11:36:53 م";"04/05/2026 11:36:53 م";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"15000.000000";;"16225.500000"
"279";"7945";"04/05/2026 11:37:13 م";"04/05/2026 11:37:13 م";"ابراهيم الضويني ";"تحويل الى م/ حسام نصر المستلم ";;"15000.000000";"1225.500000"
"280";"7991";"05/05/2026 07:23:39 م";"05/05/2026 07:23:39 م";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"5000.000000";;"6225.500000"
"281";"7992";"05/05/2026 07:27:16 م";"05/05/2026 07:27:16 م";"ابراهيم الضويني ";"تحويل الى م/ حسام نصر المستلم ";;"5000.000000";"1225.500000"
"282";"8155";"07/05/2026 03:08:44 م";"07/05/2026 03:08:44 م";"يوسف محمود";"تحويل من طارق القنيشي المستلم ";"2150.000000";;"3375.500000"
"283";"8245";"07/05/2026 10:41:24 م";"07/05/2026 10:41:24 م";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"4000.000000";;"7375.500000"
"284";"8246";"07/05/2026 10:44:03 م";"07/05/2026 10:44:03 م";"يوسف محمود";"تحويل من محمود اسماعيل المستلم ";"900.000000";;"8275.500000"
"285";"8261";"07/05/2026 11:53:18 م";"07/05/2026 11:53:18 م";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"1500.000000";;"9775.500000"
"286";"8264";"08/05/2026 12:14:46 ص";"08/05/2026 12:14:46 ص";"يوسف محمود";"تحويل من محل فولت (فارس عريف) المستلم ";"9000.000000";;"18775.500000"
"287";"8265";"08/05/2026 12:19:22 ص";"08/05/2026 12:19:22 ص";"يوسف محمود";"تحويل من ابراهيم الاغا المستلم ";"2300.000000";;"21075.500000"
"288";"8266";"08/05/2026 12:28:43 ص";"08/05/2026 12:28:43 ص";"يوسف محمود";"تحويل من احمد الخميسي المستلم ";"5000.000000";;"26075.500000"
"289";"8281";"08/05/2026 01:03:37 ص";"08/05/2026 01:03:37 ص";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"50000.000000";;"76075.500000"
"290";"8283";"08/05/2026 01:04:03 ص";"08/05/2026 01:04:03 ص";"ابراهيم الضويني ";"تحويل الى شركة R.S  محمد البغدادي المستلم ";;"50000.000000";"26075.500000"
"291";"8295";"08/05/2026 01:31:04 ص";"08/05/2026 01:31:04 ص";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"10000.000000";;"36075.500000"
"292";"8296";"08/05/2026 01:31:48 ص";"08/05/2026 01:31:48 ص";"ابراهيم الضويني ";"تحويل الى محمود على الله المستلم ";;"10000.000000";"26075.500000"
"293";"8294";"08/05/2026 01:31:57 ص";"08/05/2026 01:31:57 ص";"يوسف محمود";"تحويل من محمد السيد زجاج المستلم ";"1690.000000";;"27765.500000"
"294";"8304";"08/05/2026 02:29:20 ص";"08/05/2026 02:29:20 ص";"ابراهيم الضويني ";"تحويل الى شركة ابو العز للبلاستيك المستلم ";;"3000.000000";"24765.500000"
"295";"8304";"08/05/2026 02:29:36 ص";"08/05/2026 02:29:36 ص";"ابراهيم الضويني ";"تحويل الى احمد مصباح (المنصورة) المستلم ";;"3000.000000";"21765.500000"
"296";"8305";"08/05/2026 02:32:56 ص";"08/05/2026 02:32:56 ص";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"535.000000";;"22300.500000"
"297";"8306";"08/05/2026 02:37:52 ص";"08/05/2026 02:37:52 ص";"ابراهيم الضويني ";"تحويل من باى  انستا 1 دمياط ";"500.000000";;"22800.500000"
"298";"8309";"09/05/2026 01:42:20 م";"09/05/2026 01:42:20 م";"يوسف محمود";"مصروفات المشتريات والخصومات نقل المستلم بروفايل";;"900.000000";"21900.500000"
"299";"8427";"10/05/2026 04:14:56 م";"10/05/2026 04:14:56 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5328 نقدى";"165.000000";;"22065.500000"
"300";"8478";"10/05/2026 11:20:20 م";"10/05/2026 11:20:20 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5365 نقدى";"285.000000";;"22350.500000"
"301";"8489";"11/05/2026 12:26:16 م";"11/05/2026 12:26:16 م";"يوسف محمود";"تحويل من حماده خشبه الماجيكو المستلم ";"3000.000000";;"25350.500000"
"302";"8516";"11/05/2026 07:01:02 م";"11/05/2026 07:01:01 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5392 نقدى";"250.000000";;"25600.500000"
